"ZIP","ReportingYear","ZIPType","CityName","StateName","StateAbbr","ENC_ZIP","ZCTA_USE"
"01224","2015","ZIP Code Area","Berkshire",,"MA","01224","01224"
"01225","2015","ZIP Code Area","Cheshire",,"MA","01225","01225"
"01226","2015","ZIP Code Area","Dalton",,"MA","01226","01226"
"01227","2015","Post Office or large volume customer","Dalton",,"MA","01226","01226"
"01229","2015","Post Office or large volume customer","Glendale",,"MA","01266","01229"
"01230","2015","ZIP Code Area","Great Barrington",,"MA","01230","01230"
"01235","2015","ZIP Code Area","Hinsdale",,"MA","01235","01235"
"01236","2015","ZIP Code Area","Housatonic",,"MA","01236","01236"
"01237","2015","ZIP Code Area","Lanesboro",,"MA","01237","01237"
"01238","2015","ZIP Code Area","Lee",,"MA","01238","01238"
"01240","2015","ZIP Code Area","Lenox",,"MA","01240","01240"
"01242","2015","Post Office or large volume customer","Lenox Dale",,"MA","01238","01242"
"01243","2015","ZIP Code Area","Middlefield",,"MA","01243","01243"
"01244","2015","Post Office or large volume customer","Mill River",,"MA","01230","01244"
"01245","2015","ZIP Code Area","Monterey",,"MA","01245","01245"
"01247","2015","ZIP Code Area","North Adams",,"MA","01247","01247"
"01252","2015","Post Office or large volume customer","North Egremont",,"MA","01230","01230"
"01253","2015","ZIP Code Area","Otis",,"MA","01253","01253"
"01254","2015","ZIP Code Area","Richmond",,"MA","01254","01254"
"01255","2015","ZIP Code Area","Sandisfield",,"MA","01255","01255"
"01256","2015","ZIP Code Area","Savoy",,"MA","01256","01256"
"01257","2015","ZIP Code Area","Sheffield",,"MA","01257","01257"
"01258","2015","ZIP Code Area","South Egremont",,"MA","01258","01258"
"01259","2015","ZIP Code Area","Southfield",,"MA","01259","01259"
"01260","2015","Post Office or large volume customer","South Lee",,"MA","01238","01260"
"01262","2015","ZIP Code Area","Stockbridge",,"MA","01262","01262"
"01263","2015","Post Office or large volume customer","Stockbridge",,"MA","01262","01262"
"01264","2015","Post Office or large volume customer","Tyringham",,"MA","01238","01264"
"01266","2015","ZIP Code Area","West Stockbridge",,"MA","01266","01266"
"01267","2015","ZIP Code Area","Williamstown",,"MA","01267","01267"
"01270","2015","ZIP Code Area","Windsor",,"MA","01270","01270"
"01301","2015","ZIP Code Area","Greenfield",,"MA","01301","01301"
"01302","2015","Post Office or large volume customer","Greenfield",,"MA","01301","01301"
"01330","2015","ZIP Code Area","Ashfield",,"MA","01330","01330"
"01331","2015","ZIP Code Area","Athol",,"MA","01331","01331"
"01337","2015","ZIP Code Area","Bernardston",,"MA","01337","01337"
"01338","2015","ZIP Code Area","Buckland",,"MA","01338","01338"
"01339","2015","ZIP Code Area","Charlemont",,"MA","01339","01339"
"01340","2015","ZIP Code Area","Colrain",,"MA","01340","01340"
"01341","2015","ZIP Code Area","Conway",,"MA","01341","01341"
"01342","2015","ZIP Code Area","Deerfield",,"MA","01342","01342"
"01343","2015","ZIP Code Area","Drury",,"MA","01343","01343"
"01344","2015","ZIP Code Area","Erving",,"MA","01344","01344"
"01346","2015","ZIP Code Area","Heath",,"MA","01346","01346"
"01347","2015","Post Office or large volume customer","Lake Pleasant",,"MA","01351","01347"
"01349","2015","ZIP Code Area","Millers Falls",,"MA","01349","01349"
"01350","2015","ZIP Code Area","Monroe Bridge",,"MA","01350","01350"
"01351","2015","ZIP Code Area","Montague",,"MA","01351","01351"
"01354","2015","ZIP Code Area","Gill",,"MA","01354","01354"
"01355","2015","ZIP Code Area","New Salem",,"MA","01355","01355"
"01360","2015","ZIP Code Area","Northfield",,"MA","01360","01360"
"01364","2015","ZIP Code Area","Orange",,"MA","01364","01364"
"01366","2015","ZIP Code Area","Petersham",,"MA","01366","01366"
"01367","2015","ZIP Code Area","Rowe",,"MA","01367","01367"
"01368","2015","ZIP Code Area","Royalston",,"MA","01368","01368"
"01370","2015","ZIP Code Area","Shelburne Falls",,"MA","01370","01370"
"01373","2015","ZIP Code Area","South Deerfield",,"MA","01373","01373"
"01375","2015","ZIP Code Area","Sunderland",,"MA","01375","01375"
"01376","2015","ZIP Code Area","Turners Falls",,"MA","01376","01376"
"01378","2015","ZIP Code Area","Warwick",,"MA","01378","01378"
"01379","2015","ZIP Code Area","Wendell",,"MA","01379","01379"
"01380","2015","Post Office or large volume customer","Wendell Depot",,"MA","01379","01379"
"01420","2015","ZIP Code Area","Fitchburg",,"MA","01420","01420"
"01430","2015","ZIP Code Area","Ashburnham",,"MA","01430","01430"
"01431","2015","ZIP Code Area","Ashby",,"MA","01431","01431"
"01432","2015","ZIP Code Area","Ayer",,"MA","01432","01432"
"01434","2015","ZIP Code Area","Devens",,"MA","01434","01434"
"01436","2015","ZIP Code Area","Baldwinville",,"MA","01436","01436"
"01438","2015","Post Office or large volume customer","East Templeton",,"MA","01468","01438"
"01440","2015","ZIP Code Area","Gardner",,"MA","01440","01440"
"01441","2015","Post Office or large volume customer","Westminster",,"MA","01440","01440"
"01450","2015","ZIP Code Area","Groton",,"MA","01450","01450"
"01451","2015","ZIP Code Area","Harvard",,"MA","01451","01451"
"01452","2015","ZIP Code Area","Hubbardston",,"MA","01452","01452"
"01453","2015","ZIP Code Area","Leominster",,"MA","01453","01453"
"01460","2015","ZIP Code Area","Littleton",,"MA","01460","01460"
"01462","2015","ZIP Code Area","Lunenburg",,"MA","01462","01462"
"01463","2015","ZIP Code Area","Pepperell",,"MA","01463","01463"
"01464","2015","ZIP Code Area","Shirley",,"MA","01464","01464"
"01467","2015","Post Office or large volume customer","Still River",,"MA","01451","01467"
"01468","2015","ZIP Code Area","Templeton",,"MA","01468","01468"
"01469","2015","ZIP Code Area","Townsend",,"MA","01469","01469"
"01470","2015","Post Office or large volume customer","Groton",,"MA","01450","01450"
"01471","2015","Post Office or large volume customer","Groton",,"MA","01450","01450"
"01472","2015","Post Office or large volume customer","West Groton",,"MA","01464","01464"
"01473","2015","ZIP Code Area","Westminster",,"MA","01473","01473"
"01474","2015","ZIP Code Area","West Townsend",,"MA","01474","01474"
"01475","2015","ZIP Code Area","Winchendon",,"MA","01475","01475"
"01477","2015","Post Office or large volume customer","Winchendon Springs",,"MA","01475","01475"
"01501","2015","ZIP Code Area","Auburn",,"MA","01501","01501"
"01503","2015","ZIP Code Area","Berlin",,"MA","01503","01503"
"01504","2015","ZIP Code Area","Blackstone",,"MA","01504","01504"
"01505","2015","ZIP Code Area","Boylston",,"MA","01505","01505"
"01506","2015","ZIP Code Area","Brookfield",,"MA","01506","01506"
"01507","2015","ZIP Code Area","Charlton",,"MA","01507","01507"
"01508","2015","Post Office or large volume customer","Charlton City",,"MA","01507","01507"
"01509","2015","Post Office or large volume customer","Charlton Depot",,"MA","01507","01507"
"01510","2015","ZIP Code Area","Clinton",,"MA","01510","01510"
"01515","2015","ZIP Code Area","East Brookfield",,"MA","01515","01515"
"01516","2015","ZIP Code Area","Douglas",,"MA","01516","01516"
"01517","2015","Post Office or large volume customer","East Princeton",,"MA","01541","01541"
"01518","2015","ZIP Code Area","Fiskdale",,"MA","01518","01518"
"01519","2015","ZIP Code Area","Grafton",,"MA","01519","01519"
"01520","2015","ZIP Code Area","Holden",,"MA","01520","01520"
"01521","2015","ZIP Code Area","Holland",,"MA","01521","01521"
"01522","2015","ZIP Code Area","Jefferson",,"MA","01522","01522"
"01523","2015","ZIP Code Area","Lancaster",,"MA","01523","01523"
"01524","2015","ZIP Code Area","Leicester",,"MA","01524","01524"
"01525","2015","Post Office or large volume customer","Linwood",,"MA","01588","01525"
"01526","2015","Post Office or large volume customer","Manchaug",,"MA","01590","01590"
"01527","2015","ZIP Code Area","Millbury",,"MA","01527","01527"
